OG	tree	original_polytomies	resolved_polytomies	inconsistent_triples	prunned_leaves
OG17061	(Capana09g000303[&&NHX:species=Dom. pepper],SLYcer12g00346.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400000755[&&NHX:species=Potato],Solyc12g007110.2.1[&&NHX:species=Tomato],SPI12g00374.1[&&NHX:species=S. pimp],Capang09g000288[&&NHX:species=Wild pepper],Sopen12g003090.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG17103	((Solyc01g098740.4.1[&&NHX:species=Tomato],Capang00g000710[&&NHX:species=Wild pepper],Sopen01g042270.1[&&NHX:species=S. Pennelli],SLYcer01g07678.1[&&NHX:species=Tomato Cherry],SPI01g07589.1[&&NHX:species=S. pimp],PGSC0003DMP400049835[&&NHX:species=Potato])S,PGSC0003DMP400049833[&&NHX:species=Potato])D;	0	0	0	
OG17149	(Capana05g000764[&&NHX:species=Dom. pepper],Solyc04g008430.1.1[&&NHX:species=Tomato],Sopen04g003580.1[&&NHX:species=S. Pennelli],SPI04g00444.1[&&NHX:species=S. pimp],Capang05g000651[&&NHX:species=Wild pepper],PGSC0003DMP400051275[&&NHX:species=Potato],SLYcer04g00471.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG17229	(Capang11g000646[&&NHX:species=Wild pepper],(Capana10g000729[&&NHX:species=Dom. pepper],Capang10g000560[&&NHX:species=Wild pepper],SLYcer10g00229.1[&&NHX:species=Tomato Cherry],Sopen10g001160.1[&&NHX:species=S. Pennelli],SPI10g00105.1[&&NHX:species=S. pimp],Solyc10g005140.1.1[&&NHX:species=Tomato])S)D;	0	0	0	
OG17303	(SLYcer09g01438.1[&&NHX:species=Tomato Cherry],SPI09g01301.1[&&NHX:species=S. pimp],Capang00g003519[&&NHX:species=Wild pepper],PGSC0003DMP400046538[&&NHX:species=Potato],Capana09g001001[&&NHX:species=Dom. pepper],Solyc09g015520.3.1[&&NHX:species=Tomato],Sopen09g009470.1[&&NHX:species=S. Pennelli])S;	0	0	0	
OG17305	(SPI04g01066.1[&&NHX:species=S. pimp],PGSC0003DMP400047434[&&NHX:species=Potato],Sopen04g007680.1[&&NHX:species=S. Pennelli],Capang05g000118[&&NHX:species=Wild pepper],Capana05g000115[&&NHX:species=Dom. pepper],Solyc04g015600.3.1[&&NHX:species=Tomato],SLYcer04g01334.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
OG17342	(Capang02g001400[&&NHX:species=Wild pepper],SPI02g02817.1[&&NHX:species=S. pimp],SLYcer02g03921.1[&&NHX:species=Tomato Cherry],Solyc02g071220.3.1[&&NHX:species=Tomato],Sopen00g008280.1[&&NHX:species=S. Pennelli],PGSC0003DMP400005544[&&NHX:species=Potato],Capana02g001579[&&NHX:species=Dom. pepper])S;	0	0	0	
OG17464	(PGSC0003DMP400000975[&&NHX:species=Potato],SLYcer02g05106.1[&&NHX:species=Tomato Cherry],SPI02g04044.1[&&NHX:species=S. pimp],Capana02g003482[&&NHX:species=Dom. pepper],Sopen02g031730.1[&&NHX:species=S. Pennelli],Capang02g003206[&&NHX:species=Wild pepper],Solyc02g086960.2.1[&&NHX:species=Tomato])S;	0	0	0	
OG17511	(Solyc03g006920.2.1[&&NHX:species=Tomato],Sopen03g002920.1[&&NHX:species=S. Pennelli],SLYcer03g00288.1[&&NHX:species=Tomato Cherry],PGSC0003DMP400013373[&&NHX:species=Potato],Capana03g002442[&&NHX:species=Dom. pepper],SPI03g00506.1[&&NHX:species=S. pimp],Capang03g002363[&&NHX:species=Wild pepper])S;	0	0	0	
OG17565	(SPI12g00510.1[&&NHX:species=S. pimp],Capang09g000138[&&NHX:species=Wild pepper],PGSC0003DMP400005224[&&NHX:species=Potato],Capana09g000142[&&NHX:species=Dom. pepper],Sopen12g004190.1[&&NHX:species=S. Pennelli],Solyc12g009240.1.1[&&NHX:species=Tomato],SLYcer12g00482.1[&&NHX:species=Tomato Cherry])S;	0	0	0	
